feature_idx,count,frequency,top_tokens
241,0,0.000000,
242,0,0.000000,
243,0,0.000000,
244,523,0.000523,' them'(523)
245,0,0.000000,
246,0,0.000000,
247,175,0.000175,"' support'(4), ' operations'(3), ' music'(3), ' elements'(3), ' socks'(3)"
248,0,0.000000,
249,146,0.000146,' San'(146)
250,0,0.000000,
251,0,0.000000,
252,0,0.000000,
253,10,0.000010,"' stress'(9), ' strain'(1)"
254,0,0.000000,
255,0,0.000000,
256,0,0.000000,
257,431,0.000431,"' left'(274), ' leaving'(71), ' leave'(60), ' leaves'(20), ' Leave'(3)"
258,0,0.000000,
259,0,0.000000,
260,0,0.000000,
261,0,0.000000,
262,0,0.000000,
263,45,0.000045,' Washington'(45)
264,32,0.000032,"' Res'(26), 'res'(6)"
265,0,0.000000,
266,0,0.000000,
267,0,0.000000,
268,0,0.000000,
269,0,0.000000,
270,0,0.000000,
271,0,0.000000,
272,0,0.000000,
273,0,0.000000,
274,0,0.000000,
275,0,0.000000,
276,0,0.000000,
277,0,0.000000,
278,0,0.000000,
279,0,0.000000,
280,0,0.000000,
281,0,0.000000,
282,0,0.000000,
283,0,0.000000,
284,0,0.000000,
285,0,0.000000,
286,0,0.000000,
287,0,0.000000,
288,1466,0.001466,"'.'(53), 'ops'(52), ' A'(48), ' hy'(47), ' of'(34)"
289,0,0.000000,
290,0,0.000000,
291,0,0.000000,
292,0,0.000000,
293,0,0.000000,
294,0,0.000000,
295,0,0.000000,
296,0,0.000000,
297,0,0.000000,
298,0,0.000000,
299,0,0.000000,
300,0,0.000000,
301,0,0.000000,
302,0,0.000000,
303,4,0.000004,' therm'(4)
304,0,0.000000,
305,0,0.000000,
306,0,0.000000,
307,0,0.000000,
308,73,0.000073,"' op'(30), 'op'(23), ' Op'(20)"
309,0,0.000000,
310,0,0.000000,
311,0,0.000000,
312,0,0.000000,
313,0,0.000000,
314,7,0.000007,"' of'(1), 'ude'(1), ' into'(1), ' icons'(1), ' check'(1)"
315,0,0.000000,
316,0,0.000000,
317,0,0.000000,
318,0,0.000000,
319,0,0.000000,
320,0,0.000000,
321,0,0.000000,
322,0,0.000000,
323,0,0.000000,
324,0,0.000000,
325,106,0.000106,"' rule'(61), ' rules'(29), ' Rules'(7), ' Rule'(7), ' ruled'(2)"
326,0,0.000000,
327,0,0.000000,
328,0,0.000000,
329,0,0.000000,
330,0,0.000000,
331,2,0.000002,"' and'(1), ' a'(1)"
332,0,0.000000,
333,0,0.000000,
334,0,0.000000,
335,0,0.000000,
336,0,0.000000,
337,0,0.000000,
338,64,0.000064,"' spacing'(3), ' run'(2), ' transfer'(2), ' pig'(2), ' bromide'(1)"
339,0,0.000000,
340,0,0.000000,
341,13,0.000013,"' Web'(8), ' web'(5)"
342,337,0.000337,"' back'(324), ' Back'(12), 'back'(1)"
343,0,0.000000,
344,0,0.000000,
345,0,0.000000,
346,0,0.000000,
347,0,0.000000,
348,0,0.000000,
349,0,0.000000,
350,0,0.000000,
351,0,0.000000,
352,0,0.000000,
353,0,0.000000,
354,0,0.000000,
355,0,0.000000,
356,0,0.000000,
357,0,0.000000,
358,0,0.000000,
359,0,0.000000,
360,0,0.000000,
361,0,0.000000,
362,0,0.000000,
363,0,0.000000,
364,0,0.000000,
365,0,0.000000,
366,0,0.000000,
367,0,0.000000,
368,0,0.000000,
369,0,0.000000,
370,0,0.000000,
371,0,0.000000,
372,0,0.000000,
373,0,0.000000,
374,0,0.000000,
375,318,0.000318,"'>'(67), '@'(42), ' ,'(40), ' .'(29), ' Mark'(15)"
376,0,0.000000,
377,0,0.000000,
378,0,0.000000,
379,522,0.000522,' as'(522)
380,0,0.000000,
381,0,0.000000,
382,0,0.000000,
383,3,0.000003,"' 1889'(1), '56'(1), '83'(1)"
384,0,0.000000,
385,0,0.000000,
386,212,0.000212,"' attended'(45), ' organized'(32), ' arranged'(27), ' attend'(24), ' organised'(17)"
387,64,0.000064,"' question'(36), ' questions'(22), ' Question'(6)"
388,0,0.000000,
389,0,0.000000,
390,0,0.000000,
391,0,0.000000,
392,0,0.000000,
393,0,0.000000,
394,0,0.000000,
395,0,0.000000,
396,0,0.000000,
397,0,0.000000,
398,0,0.000000,
399,0,0.000000,
400,41,0.000041,"' Music'(6), ' the'(5), ' G'(4), 'il'(3), ' or'(3)"
401,48,0.000048,"'etric'(4), 'al'(3), 'us'(3), 'ative'(2), ' Scre'(1)"
402,0,0.000000,
403,0,0.000000,
404,0,0.000000,
405,0,0.000000,
406,0,0.000000,
407,0,0.000000,
408,0,0.000000,
409,0,0.000000,
410,0,0.000000,
411,0,0.000000,
412,0,0.000000,
413,0,0.000000,
414,39,0.000039,"' submitted'(27), ' submit'(6), ' submitting'(3), ' uploaded'(1), ' filed'(1)"
415,0,0.000000,
416,0,0.000000,
417,0,0.000000,
418,0,0.000000,
419,0,0.000000,
420,1,0.000001,'40'(1)
421,0,0.000000,
422,0,0.000000,
423,0,0.000000,
424,0,0.000000,
425,0,0.000000,
426,0,0.000000,
427,0,0.000000,
428,0,0.000000,
429,0,0.000000,
430,150,0.000150,"'>'(17), ' the'(11), ' )'(5), ' in'(5), ' and'(5)"
431,341,0.000341,"' F'(18), ' K'(13), ' B'(12), ' Ne'(9), ' I'(9)"
